dataset,model,accuracy,precision,recall,f1_score,auc
_deprecated_cleve,SAINT,0.819672131147541,0.84,0.75,0.7924528301886793,0.9004329004329005
_deprecated_colic,SAINT,0.8243243243243243,0.8035714285714286,0.9574468085106383,0.8737864077669902,0.8226950354609929
_deprecated_heart_c,SAINT,0.7868852459016393,0.7380952380952381,0.9393939393939394,0.8266666666666667,0.9101731601731602
_deprecated_heart_h,SAINT,0.8305084745762712,0.8333333333333334,0.9210526315789473,0.875,0.8145363408521303
_deprecated_heart_statlog,SAINT,0.8148148148148148,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8791666666666667
_deprecated_horse_colic,SAINT,0.6621621621621622,0.5227272727272727,0.8518518518518519,0.647887323943662,0.7683215130023641
_deprecated_house_votes_84,SAINT,0.9310344827586207,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9411764705882353
_deprecated_hungarian,SAINT,0.6440677966101694,0.5,0.8571428571428571,0.631578947368421,0.7255639097744361
_deprecated_vote,SAINT,0.9655172413793104,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.9955604883462819
