dataset,model,accuracy,precision,recall,f1_score,auc
analcatdata_boxing1,lightgbm,0.7916666666666666,0.7894736842105263,0.9375,0.8571428571428571,0.79296875
analcatdata_boxing2,xgboost,0.8518518518518519,0.7894736842105263,1.0,0.8823529411764706,0.8444444444444444
analcatdata_boxing2,lightgbm,0.7407407407407407,0.7,0.9333333333333333,0.8,0.8
appendicitis,xgboost,0.8181818181818182,0.5,0.25,0.3333333333333333,0.7777777777777777
appendicitis,lightgbm,0.9090909090909091,1.0,0.5,0.6666666666666666,0.8055555555555556
backache,xgboost,0.8333333333333334,0.0,0.0,0.0,0.6193548387096774
backache,lightgbm,0.8333333333333334,0.0,0.0,0.0,0.5290322580645161
corral,xgboost,1.0,1.0,1.0,1.0,1.0
corral,lightgbm,1.0,1.0,1.0,1.0,1.0
glass2,xgboost,0.7878787878787878,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.9333333333333333
glass2,lightgbm,0.8484848484848485,0.8571428571428571,0.8,0.8275862068965517,0.9444444444444445
hepatitis,xgboost,0.8064516129032258,0.8064516129032258,1.0,0.8928571428571429,0.7166666666666668
hepatitis,lightgbm,0.7741935483870968,0.8461538461538461,0.88,0.8627450980392157,0.8133333333333335
molecular_biology_promoters,xgboost,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,0.9008264462809917
molecular_biology_promoters,lightgbm,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8925619834710744
mux6,xgboost,1.0,1.0,1.0,1.0,1.0
mux6,lightgbm,0.8846153846153846,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9881656804733727
prnn_crabs,xgboost,1.0,1.0,1.0,1.0,1.0
prnn_crabs,lightgbm,1.0,1.0,1.0,1.0,1.0
analcatdata_lawsuit,xgboost,1.0,1.0,1.0,1.0,1.0
analcatdata_lawsuit,lightgbm,1.0,1.0,1.0,1.0,1.0
biomed,xgboost,0.9285714285714286,0.9,1.0,0.9473684210526315,0.9851851851851853
biomed,lightgbm,0.9047619047619048,0.896551724137931,0.9629629629629629,0.9285714285714286,0.9753086419753088
breast_cancer,xgboost,0.6551724137931034,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.505738880918221
