dataset,model,accuracy,precision,recall,f1_score,auc
_deprecated_cleve,TabTransformer,0.7540983606557377,0.7096774193548387,0.7857142857142857,0.7457627118644068,0.8073593073593074
_deprecated_colic,TabTransformer,0.7297297297297297,0.7547169811320755,0.851063829787234,0.8,0.7588652482269503
_deprecated_heart_c,TabTransformer,0.8360655737704918,0.7948717948717948,0.9393939393939394,0.8611111111111112,0.880952380952381
_deprecated_heart_h,TabTransformer,0.864406779661017,0.8409090909090909,0.9736842105263158,0.9024390243902439,0.9273182957393484
_deprecated_heart_statlog,TabTransformer,0.8518518518518519,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8833333333333333
_deprecated_horse_colic,TabTransformer,0.6351351351351351,0.5,0.7777777777777778,0.6086956521739131,0.7304964539007092
_deprecated_house_votes_84,TabTransformer,0.9655172413793104,0.9696969696969697,0.9411764705882353,0.9552238805970149,0.9961154273029967
_deprecated_hungarian,TabTransformer,0.7966101694915254,0.8461538461538461,0.5238095238095238,0.6470588235294118,0.7506265664160401
_deprecated_vote,TabTransformer,0.9540229885057471,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9911209766925638
